video_id,author,comment,published_at
m5v0Waoj0qQ,@satriabajahitam6686,BAGUS...ORANG SOMBONG EMANG HARUS DITAMPAR DENGAN KEADAAN...,2025-05-02T06:43:11Z
m5v0Waoj0qQ,@okysetya9338,"masih nunggu ESEMKA keluar ni bang , atau cm imajinasi kita aja",2025-05-02T06:34:25Z
m5v0Waoj0qQ,@udinaja5394,tesla penyumbang senjata zionis,2025-05-02T06:27:50Z
m5v0Waoj0qQ,@muhammaddiki8391,Oligarki di Amerika sudah mendukung Trump dan memenangkannya pun belum tentu dapat hadiah berupa kebijakan yang menguntungkan perusahaan nya berbeda dengan negara Konoha yang sangat pro terhadap rakyat 😅,2025-05-02T06:25:03Z
m5v0Waoj0qQ,@gilanganggriandika9324,"Tanya dong, bahan baterai nya dari mana? 😅",2025-05-02T06:22:21Z
m5v0Waoj0qQ,@ha836122,"BYD nggak pelit tehnologi, fitur melimpah layak mobil premium di harga yang terjangkau. Mobil listrik bayangan kita sebelumnya pasti diatas 1 M,. Tapi BYD dan produsen mobil Cina membalik semua itu.",2025-05-02T06:20:22Z
m5v0Waoj0qQ,@joni8454,"mang mobil byd ceren2,klu lihat di jln kliatan mewah banget,",2025-05-02T06:18:19Z
6trY1WoTE2s,@Muznutt,"Jujur bang channel lu membantu gw yg pelajar ini jadi tau sejarah sm berita terkini, temen2 gw, gw suruh nonton lu , malah pada gamau njir, malah pada nonton tiktok, semangat terus bang❤😊",2025-05-02T10:04:15Z
6trY1WoTE2s,@cacalion6494,"Setiap negara pasti punya kasus korupsi, termasuk China. Pinternya, di China hukuman untuk koruptor itu sangat tegas, bahkan walaupun yg dikorupsi itu banyak, masyarakatnya hampir semuanya produktif. Jadi ga ada masalah populasi mereka besar, toh mereka semua punya etos kerja yg tinggi. 

Sedangkan di Indonesia, yaah tau sendiri lah. Perampasan aset koruptor aja dibilangnya ga adil. Mau ke arah mana coba sebenarnya negara ini? Ga jelas, ga tegas, ga efisien semua kebijakan pemerintahnya. Ya gini nih kalo yg menjalankan pemerintahan bukan yg ahlinya.",2025-05-02T10:33:04Z
6trY1WoTE2s,@dwiwariyaniwee,"Tapi Vietnam gila sihh dah kyak Thailand, even buah mereka dah masuk ke supermarket"" luar. Mie instant mereka juga dah merajalela 🙂‍↕️🙂‍↕️",2025-05-02T10:32:54Z
6trY1WoTE2s,@ostatochetowa9860,"Waduh nyimak video ini jadi makin OVT, selain karena kita berpotensi jadi sasaran empuk, pemimpin kita sepertinya tidak punya rencana bagus untuk mengatasi ini 😔😔😔",2025-05-02T10:32:31Z
6trY1WoTE2s,@JokoOvFQp,Asiknya main bareng temen-temen di A 𝐄 R О 𝟾 8! Makin seru! ♊,2025-05-02T10:31:52Z
6trY1WoTE2s,@Zuld1Tin,"Iseng-iseng mencoba bermain A 𝐄 R О 𝟾 8,justru malah menjadi ahli, rezeki terus menerus datang! 🦕",2025-05-02T10:31:05Z
6trY1WoTE2s,@RinatFLsK,Beberapa pemain melaporkan pengalaman positif dengan A 𝐄 R О 𝟾 8. 🥦,2025-05-02T10:30:48Z
